 Time: 1200 18 Jun 2010 to 1200 11 Jun 2011 (index  1107 to  1465,   359 lines, 13 depths)
 Index:              1      4      6      7      8     11     12     13     14     15     16     17     18
 Depth(M):           1     10     20     25     30     37     45     60     80    100    120    150    200 QUALITY INDICES
     DATE TIME     SSS    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL SSSSSSSSSSSSS
 20100618 1200  32.706 32.703 32.703 32.702 32.708 32.708 32.709 32.712 32.836 33.176 33.616 33.731 33.792 2222222222222
 20100619 1200  32.698 32.698 32.697 32.694 32.702 32.706 32.706 32.710 32.846 33.155 33.607 33.736 33.789 2222222222222
 20100620 1200  32.697 32.696 32.697 32.696 32.694 32.693 32.704 32.709 32.844 33.180 33.615 33.737 33.786 2222222222222
 20100621 1200  32.684 32.684 32.694 32.695 32.695 32.693 32.704 32.709 32.835 33.201 33.620 33.739 33.787 2222222222222
 20100622 1200  32.675 32.671 32.686 32.688 32.692 32.701 32.707 32.711 32.836 33.226 33.621 33.736 33.787 2222222222222
 20100623 1200  32.680 32.674 32.685 32.688 32.691 32.703 32.706 32.707 32.831 33.209 33.620 33.736 33.788 2222222222222
 20100624 1200  32.680 32.672 32.685 32.690 32.694 32.700 32.707 32.708 32.837 33.167 33.616 33.738 33.790 2222222222222
 20100625 1200  32.662 32.666 32.684 32.689 32.697 32.698 32.705 32.716 32.836 33.121 33.628 33.734 33.789 2222222222222
 20100626 1200  32.661 32.660 32.667 32.671 32.686 32.692 32.706 32.718 32.823 33.120 33.586 33.729 33.786 2222222222222
 20100627 1200  32.655 32.655 32.657 32.652 32.665 32.680 32.703 32.709 32.845 33.084 33.560 33.729 33.783 2222222222222
 20100628 1200  32.664 32.661 32.663 32.665 32.660 32.662 32.701 32.711 32.822 33.103 33.550 33.730 33.780 2222222222222
 20100629 1200  32.659 32.654 32.656 32.658 32.664 32.646 32.689 32.712 32.833 33.121 33.565 33.735 33.782 2222222222222
 20100630 1200  32.656 32.655 32.655 32.655 32.657 32.660 32.690 32.708 32.819 33.111 33.549 33.729 33.782 2222222222222
 20100701 1200  32.639 32.645 32.651 32.650 32.651 32.657 32.686 32.708 32.806 33.125 33.552 33.733 33.786 2222222222222
 20100702 1200  32.643 32.642 32.644 32.647 32.645 32.654 32.688 32.701 32.792 33.120 33.541 33.725 33.779 2222222222222
 20100703 1200  32.656 32.655 32.653 32.651 32.649 32.646 32.684 32.693 32.777 33.097 33.537 33.730 33.786 2222222222222
 20100704 1200  32.670 32.668 32.669 32.669 32.667 32.653 32.678 32.698 32.790 33.112 33.527 33.723 33.788 2222222222222
 20100705 1200  32.691 32.691 32.690 32.688 32.685 32.671 32.677 32.711 32.773 33.061 33.470 33.715 33.775 2222222222222
 20100706 1200  32.699 32.699 32.701 32.696 32.691 32.664 32.688 32.711 32.762 33.083 33.490 33.731 33.777 2222222222222
 20100707 1200  32.702 32.703 32.703 32.700 32.694 32.678 32.680 32.711 32.764 33.088 33.512 33.728 33.778 2222222222222
 20100708 1200  32.695 32.694 32.700 32.697 32.693 32.685 32.675 32.709 32.755 33.082 33.509 33.728 33.782 2222222222222
 20100709 1200  32.681 32.679 32.681 32.682 32.684 32.683 32.660 32.704 32.766 33.096 33.503 33.724 33.779 2222222222222
 20100710 1200  32.678 32.677 32.679 32.675 32.678 32.682 32.678 32.701 32.780 33.104 33.559 33.730 33.782 2222222222222
 20100711 1200  32.681 32.680 32.680 32.679 32.671 32.673 32.677 32.701 32.758 33.092 33.543 33.730 33.776 2222222222222
