 Time: 1200  8 Jun 2007 to 1200 10 Jun 2008 (index     1 to   369,   369 lines, 13 depths)
 Index:              1      2      3      4      5      6      9     12     14     15     16     17     18
 Depth(M):           1      5      8     10     15     20     35     45     80    100    120    150    200 QUALITY INDICES
     DATE TIME     SSS    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL SSSSSSSSSSSSS
 20070608 1200  32.549 32.586 32.582 32.587 -9.999 -9.999 32.576 32.618 32.687 33.240 33.775 33.817 33.808 1211001111111
 20070609 1200  32.566 32.583 32.579 32.584 32.576 32.578 32.578 32.616 32.708 33.255 33.778 33.828 33.825 1211231111111
 20070610 1200  32.564 32.589 32.584 32.590 32.582 32.583 32.576 32.598 32.680 33.284 33.767 33.835 33.844 1211231111111
 20070611 1200  32.577 32.593 32.587 32.592 32.584 32.585 32.578 32.599 32.676 33.198 33.746 33.779 33.821 1211231111111
 20070612 1200  32.565 32.580 32.575 32.581 32.571 32.572 32.562 32.582 32.648 33.162 33.743 33.777 33.819 1211231111111
 20070613 1200  32.558 32.574 32.568 32.575 32.565 32.567 32.561 32.583 32.634 33.161 33.736 33.782 33.825 1211231111111
 20070614 1200  32.556 32.576 32.568 32.577 32.567 32.569 32.562 32.584 32.657 33.077 33.633 33.769 33.821 1211231111111
 20070615 1200  32.559 32.576 32.568 32.579 32.567 32.569 32.562 32.583 32.652 33.022 33.537 33.728 33.791 1211231111111
 20070616 1200  32.556 32.576 32.565 32.576 32.564 32.565 32.559 32.580 32.667 32.951 33.527 33.749 33.789 1211231111111
 20070617 1200  32.547 32.568 32.563 32.570 32.564 32.564 32.562 32.584 32.671 32.845 33.425 33.702 33.797 1211231111111
 20070618 1200  32.542 32.560 32.555 32.564 32.573 32.568 32.567 32.592 32.651 32.826 33.395 33.700 33.795 1211231111111
 20070619 1200  32.543 32.561 32.555 32.566 32.571 32.564 32.567 32.590 32.658 32.868 33.470 33.705 33.793 1211231111111
 20070620 1200  32.541 32.558 32.553 32.559 32.550 32.557 32.558 32.584 32.665 32.901 33.479 33.744 33.797 1211231111111
 20070621 1200  32.542 32.560 32.554 32.560 32.550 32.553 32.555 32.584 32.652 32.934 33.589 33.747 33.810 1211231111111
 20070622 1200  32.539 32.562 32.556 32.563 32.552 32.554 32.556 32.582 32.644 33.054 33.584 33.760 33.804 1211231111111
