 Location: 50N 145W    8 Jun 2007 to  26 Oct 2012 ( 1968 lines, 18 depths,  5 blocks) Gen. Date Oct 26 2012
 Units: Depth (Meters), Salinity (PSU),  -9.999 = missing
 Time: 1200  8 Jun 2007 to 1200 10 Jun 2008 (index     1 to   369,   369 lines, 13 depths)
 Index:              1      2      3      4      5      6      9     12     14     15     16     17     18
 Depth(M):           1      5      8     10     15     20     35     45     80    100    120    150    200 QUALITY INDICES
     DATE TIME     SSS    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL SSSSSSSSSSSSS
 20070715 1200  32.477 32.504 32.496 32.505 32.498 32.503 32.538 32.588 32.662 32.923 33.450 33.703 33.797 3211231111111
 20070716 1200  32.475 32.502 32.494 32.503 32.497 32.502 32.538 32.589 32.662 32.901 33.421 33.703 33.793 3211231111111
 20070717 1200  32.477 32.504 32.497 32.505 32.494 32.505 32.541 32.588 32.657 32.856 33.422 33.694 33.792 3211231111111
 20070718 1200  32.482 32.510 32.502 32.510 32.499 32.514 32.544 32.591 32.666 32.846 33.374 33.696 33.791 3211231111111
 20070719 1200  32.477 32.506 32.499 32.508 32.498 32.505 32.549 32.595 32.662 32.816 33.352 33.706 33.784 3211231111111
 20070720 1200  32.472 32.501 32.494 32.502 32.496 32.499 32.545 32.590 32.660 32.818 33.342 33.702 33.785 3211231111111
 20070721 1200  32.464 32.496 32.490 32.500 32.494 32.499 32.544 32.590 32.654 32.810 33.359 33.697 33.788 3211231111111
 20070722 1200  32.466 32.494 32.486 32.496 32.493 32.497 32.547 32.589 32.653 32.793 33.364 33.696 33.789 3211231111111
 20070723 1200  32.467 32.493 32.485 32.495 32.491 32.494 32.543 32.591 32.657 32.824 33.364 33.693 33.790 3211231111111
 20070724 1200  32.464 32.490 32.482 32.491 32.483 32.491 32.533 32.593 32.658 32.874 33.365 33.693 33.791 3211231111111
 20070725 1200  32.456 32.481 32.475 32.482 32.474 32.483 32.535 32.589 32.644 32.840 33.384 33.694 33.790 3211231111111
 20070726 1200  32.462 32.487 32.480 32.488 32.477 32.477 32.543 32.590 32.649 32.866 33.386 33.695 33.790 3211231111111
 20070727 1200  32.463 32.489 32.482 32.491 32.480 32.482 32.537 32.591 32.652 32.890 33.402 33.706 33.791 3211231111111
 20070728 1200  32.464 32.490 32.484 32.491 32.480 32.485 32.545 32.600 32.654 32.918 33.437 33.703 33.787 3211231111111
 20070729 1200  32.467 32.492 32.486 32.493 32.482 32.484 32.542 32.591 32.654 32.942 33.416 33.709 33.787 3211231111111
 20070730 1200  32.470 32.494 32.488 32.495 32.484 32.486 32.543 32.591 32.653 32.927 33.438 33.711 33.794 3211231111111
 20070731 1200  32.474 32.497 32.490 32.498 32.487 32.493 32.544 32.589 32.657 32.889 33.426 33.694 33.796 3211231111111
 20070801 1200  32.471 32.492 32.485 32.494 32.484 32.489 32.547 32.593 32.655 32.875 33.422 33.693 33.800 3211231111111
 20070802 1200  32.470 32.492 32.485 32.493 32.482 32.487 32.539 32.589 32.655 32.862 33.410 33.698 33.796 3211231111111
 20070803 1200  32.474 32.495 32.488 32.497 32.486 32.486 32.541 32.593 32.644 32.839 33.422 33.697 33.794 3211231111111
 20070804 1200  32.475 32.494 32.489 32.498 32.487 32.490 32.544 32.597 32.645 32.824 33.387 33.691 33.792 3211231111111
