 Time: 1200  3 Jun 2012 to 1200 26 Oct 2012 (index  1823 to  1968,   146 lines, 13 depths)
 Index:              1      4      6      7      8     11     12     13     14     15     16     17     18
 Depth(M):           1     10     20     25     30     37     45     60     80    100    120    150    200 QUALITY INDICES
     DATE TIME     SSS    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL SSSSSSSSSSSSS
 20120603 1200  32.695 32.701 32.697 32.701 32.703 32.700 32.703 32.716 32.740 32.765 33.097 33.650 33.764 2222222222222
 20120604 1200  32.706 -9.999 32.688 32.698 32.702 32.701 32.709 32.734 -9.999 32.777 33.154 33.639 33.759 2022222202222
 20120605 1200  32.706 -9.999 32.690 32.689 32.693 32.690 32.703 32.720 -9.999 32.764 33.090 33.649 33.751 2022222202222
 20120606 1200  32.699 -9.999 32.681 32.688 32.685 32.691 32.706 32.726 -9.999 32.778 33.081 33.617 33.749 2022222202222
 20120607 1200  32.696 32.684 32.681 32.686 32.678 32.687 32.708 32.717 -9.999 32.780 33.140 33.643 33.752 2222222202222
 20120608 1200  32.696 32.682 32.678 32.683 32.684 32.690 32.708 32.714 -9.999 32.781 33.111 33.646 33.755 2222222202222
 20120609 1200  32.684 32.672 32.673 32.679 32.682 32.686 32.698 32.716 -9.999 32.785 33.131 33.647 33.753 2222222202222
 20120610 1200  32.687 32.673 32.669 32.678 32.679 32.680 32.700 32.713 -9.999 32.790 33.167 33.654 33.755 2222222202222
 20120611 1200  32.694 32.681 32.678 32.686 32.686 32.691 32.703 32.722 -9.999 32.786 33.126 33.648 33.757 2222222202222
 20120612 1200  32.694 32.682 32.674 32.683 32.683 32.684 32.700 32.719 -9.999 32.777 33.124 33.654 33.762 2222222202222
 20120613 1200  32.694 32.681 32.678 32.678 32.681 32.682 32.703 32.723 -9.999 32.772 33.132 33.644 33.759 2222222202222
 20120614 1200  32.696 32.683 32.672 32.681 32.683 32.679 32.694 32.718 -9.999 32.794 33.152 33.638 33.755 2222222202222
 20120615 1200  32.677 32.667 32.667 32.675 32.674 32.687 32.695 32.718 -9.999 32.794 33.147 33.636 33.754 2222222202222
 20120616 1200  32.667 32.654 32.652 32.659 32.667 32.682 32.693 32.714 -9.999 32.749 33.152 33.645 33.752 2222222202222
 20120617 1200  32.666 32.653 32.651 32.660 32.657 32.658 32.687 32.716 -9.999 32.757 33.077 33.636 33.753 2222222202222
 20120618 1200  32.672 32.659 32.653 32.660 32.664 32.654 32.658 32.711 -9.999 32.754 33.135 33.641 33.750 2222222202222
 20120619 1200  32.667 32.660 32.656 32.663 32.663 32.661 32.669 32.713 -9.999 32.753 33.188 33.657 33.748 2222222202222
 20120620 1200  32.671 32.658 32.657 32.664 32.663 32.647 32.680 32.711 -9.999 32.753 33.132 33.649 33.748 2222222202222
