 Time: 1200 12 Jun 2011 to 1200  2 Jun 2012 (index  1466 to  1822,   357 lines, 13 depths)
 Index:              1      4      6      7      8     11     12     13     14     15     16     17     18
 Depth(M):           1     10     20     25     30     37     45     60     80    100    120    150    200 QUALITY INDICES
     DATE TIME     SSS    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL SSSSSSSSSSSSS
 20110612 1200  32.685 32.690 32.695 32.685 32.684 32.691 32.704 32.742 32.780 32.821 33.391 33.716 33.789 2222222222222
 20110613 1200  32.677 32.692 32.697 32.694 32.684 32.698 32.709 32.739 32.776 32.830 33.342 33.708 33.784 2222222222222
 20110614 1200  32.683 32.697 32.702 32.700 32.688 32.701 32.713 32.742 32.779 32.836 33.401 33.708 33.785 2222222222222
 20110615 1200  32.682 32.700 32.706 32.701 32.695 32.689 32.716 32.747 32.777 32.835 33.388 33.713 33.785 2222222222222
 20110616 1200  32.669 32.688 32.690 32.685 32.683 32.680 32.703 32.741 32.776 32.842 33.380 33.716 33.787 2222222222222
 20110617 1200  32.665 32.685 32.689 32.686 32.687 32.681 32.718 32.754 32.777 32.828 33.378 33.717 33.789 2222222222222
 20110618 1200  32.645 32.677 32.688 32.685 32.685 32.693 32.716 32.759 32.782 32.851 33.386 33.711 33.791 2222222222222
 20110619 1200  32.645 32.665 32.690 32.690 32.692 32.700 32.717 32.751 32.781 32.867 33.419 33.716 33.793 2222222222222
 20110620 1200  32.644 32.667 32.695 32.696 32.695 32.693 32.718 32.751 32.776 32.854 33.422 33.711 33.791 2222222222222
 20110621 1200  32.647 32.665 32.685 32.698 32.695 32.694 32.716 32.753 32.780 32.885 33.429 33.714 33.791 2222222222222
 20110622 1200  32.644 32.661 32.673 32.681 32.691 32.696 32.722 32.752 32.783 32.891 33.467 33.715 33.787 2222222222222
 20110623 1200  32.644 32.660 32.675 32.682 32.692 32.698 32.722 32.758 32.789 32.873 33.492 33.716 33.791 2222222222222
 20110624 1200  32.646 32.662 32.674 32.681 32.688 32.690 32.718 32.752 32.789 32.895 33.479 33.720 33.787 2222222222222
 20110625 1200  32.644 32.660 32.673 32.684 32.691 32.692 32.730 32.749 32.784 32.935 33.511 33.722 33.792 2222222222222
 20110626 1200  32.638 32.660 32.671 32.669 32.675 32.685 32.699 32.747 32.780 32.879 33.486 33.724 33.790 2222222222222
 20110627 1200  32.643 32.658 32.669 32.664 32.666 32.677 32.699 32.743 32.785 32.860 33.428 33.722 33.788 2222222222222
 20110628 1200  32.649 32.665 32.671 32.661 32.667 32.685 32.701 32.745 32.781 32.835 33.393 33.713 33.785 2222222222222
 20110629 1200  32.657 32.673 32.673 32.664 32.649 32.685 32.689 32.743 32.777 32.855 33.422 33.712 33.782 2222222222222
 20110630 1200  32.657 32.673 32.676 32.671 32.661 32.672 32.708 32.760 32.778 32.834 33.397 33.718 33.785 2222222222222
 20110701 1200  32.659 32.677 32.679 32.676 32.668 32.662 32.707 32.754 32.779 32.838 33.425 33.713 33.783 2222222222222
 20110702 1200  32.667 32.680 32.682 32.675 32.682 32.674 32.705 32.752 32.779 32.866 33.427 33.714 33.779 2222222222222
 20110703 1200  32.667 32.680 32.685 32.682 32.670 32.663 32.699 32.753 32.780 32.856 33.445 33.714 33.781 2222222222222
 20110704 1200  32.655 32.670 32.673 32.670 32.660 32.664 32.713 32.749 32.778 32.857 33.382 33.714 33.780 2222222222222
 20110705 1200  32.658 32.675 32.675 32.670 32.644 32.681 32.715 32.749 32.775 32.874 33.435 33.721 33.783 2222222222222
 20110706 1200  32.655 32.670 32.671 32.666 32.648 32.668 32.713 32.746 32.781 32.876 33.441 33.720 33.782 2222222222222
 20110707 1200  32.660 32.670 32.673 32.667 32.666 32.660 32.716 32.751 32.783 32.877 33.433 33.723 33.781 2222222222222
 20110708 1200  32.635 32.652 32.655 32.654 32.647 32.635 32.705 32.760 32.789 32.857 33.418 33.723 33.774 2222222222222
 20110709 1200  32.636 32.650 32.650 32.648 32.642 32.664 32.707 32.758 32.797 32.880 33.487 33.728 33.780 2222222222222
 20110710 1200  32.618 32.650 32.650 32.648 32.639 32.649 32.703 32.751 32.805 32.870 33.442 33.723 33.778 2222222222222
 20110711 1200  32.598 32.640 32.643 32.638 32.632 32.649 32.714 32.762 32.806 32.885 33.447 33.726 33.784 2222222222222
 20110712 1200  32.607 32.632 32.640 32.634 32.630 32.666 32.733 32.761 32.802 32.877 33.409 33.727 33.781 2222222222222
 20110713 1200  32.608 32.628 32.640 32.637 32.635 32.677 32.726 32.776 32.814 32.876 33.353 33.721 33.781 2222222222222
 20110714 1200  32.616 32.631 32.634 32.628 32.637 32.647 32.708 32.767 32.821 32.862 33.322 33.717 33.774 2222222222222
 20110715 1200  32.618 32.636 32.639 32.629 32.632 32.632 32.717 32.764 32.817 32.891 33.313 33.718 33.777 2222222222222
 20110716 1200  32.605 32.622 32.629 32.621 32.633 32.641 32.713 32.763 32.810 32.871 33.258 33.708 33.776 2222222222222
 20110717 1200  32.609 32.627 32.628 32.619 32.630 32.666 32.738 32.770 32.819 32.872 33.296 33.709 33.780 2222222222222
 20110718 1200  32.608 32.629 32.630 32.621 32.612 32.642 32.730 32.771 32.823 32.859 33.279 33.706 33.783 2222222222222
 20110719 1200  32.608 32.623 32.627 32.617 32.605 32.646 32.726 32.767 32.822 32.876 33.315 33.710 33.779 2222222222222
 20110720 1200  32.604 32.620 32.622 32.611 32.602 32.653 32.731 32.765 32.825 32.902 33.347 33.716 33.777 2222222222222
 20110721 1200  32.607 32.623 32.626 32.623 32.605 32.625 32.700 32.761 32.816 32.876 33.383 33.720 33.771 2222222222222
 20110722 1200  32.605 32.622 32.623 32.620 32.598 32.639 32.700 32.752 32.814 32.887 33.341 33.719 33.769 2222222222222
 20110723 1200  32.604 32.620 32.620 32.616 32.604 32.644 32.691 32.754 32.812 32.869 33.349 33.717 33.776 2222222222222
 20110724 1200  32.604 32.620 32.620 32.617 32.609 32.649 32.706 32.765 32.810 32.867 33.316 33.720 33.782 2222222222222
 20110725 1200  32.608 32.625 32.627 32.619 32.593 32.626 32.724 32.767 32.798 32.839 33.224 33.722 33.783 2222222222222
 20110726 1200  32.607 32.627 32.627 32.619 32.606 32.650 32.717 32.765 32.817 32.841 33.247 33.720 33.780 2222222222222
 20110727 1200  32.607 32.624 32.628 32.619 32.559 32.650 32.731 32.768 32.806 32.837 33.223 33.721 33.779 2222222222222
 20110728 1200  32.605 32.621 32.620 32.614 32.621 32.669 32.720 32.771 32.808 32.836 33.248 33.717 33.781 2222222222222
 20110729 1200  32.606 32.624 32.627 32.622 32.606 32.613 32.729 32.764 32.807 32.839 33.308 33.718 33.778 2222222222222
 20110730 1200  32.612 32.630 32.631 32.625 32.591 32.636 32.716 32.760 32.808 32.866 33.334 33.716 33.776 2222222222222
 20110731 1200  32.618 32.637 32.639 32.633 32.598 32.657 32.723 32.760 32.810 32.867 33.334 33.721 33.773 2222222222222
 20110801 1200  32.613 32.630 32.631 32.622 32.618 32.639 32.718 32.762 32.802 32.871 33.292 33.721 33.773 2222222222222
 20110802 1200  32.610 32.630 32.630 32.623 32.596 32.646 32.729 32.764 32.801 32.835 33.241 33.723 33.774 2222222222222
 20110803 1200  32.606 32.625 32.625 32.617 32.598 32.651 32.718 32.767 32.805 32.834 33.205 33.709 33.776 2222222222222
 20110804 1200  32.603 32.620 32.621 32.616 32.603 32.659 32.715 32.763 32.805 32.854 33.285 33.715 33.782 2222222222222
 20110805 1200  32.597 32.617 32.618 32.612 32.597 32.642 32.718 32.762 32.803 32.838 33.235 33.710 33.783 2222222222222
 20110806 1200  32.591 32.611 32.611 32.592 32.609 32.670 32.701 32.767 32.804 32.847 33.257 33.711 33.779 2222222222222
 20110807 1200  32.585 32.608 32.608 32.601 32.600 32.649 32.727 32.759 32.799 32.845 33.244 33.717 33.781 2222222222222
 20110808 1200  32.587 32.605 32.613 32.611 32.600 32.652 32.727 32.759 32.799 32.851 33.238 33.716 33.778 2222222222222
 20110809 1200  32.594 32.606 32.600 32.596 32.593 32.643 32.719 32.764 32.803 32.842 33.245 33.715 33.773 2222222222222
 20110810 1200  32.593 32.602 32.600 32.592 32.595 32.664 32.729 32.761 32.799 32.841 33.244 33.708 33.776 2222222222222
 20110811 1200  32.583 32.600 32.595 32.595 32.607 32.648 32.716 32.766 32.795 32.825 33.180 33.704 33.774 2222222222222
 20110812 1200  32.575 32.594 32.592 32.604 32.611 32.661 32.719 32.762 32.796 32.828 33.181 33.703 33.773 2222222222222
 20110813 1200  32.563 32.578 32.594 32.602 32.607 32.658 32.705 32.757 32.792 32.818 33.120 33.683 33.776 2222222222222
 20110814 1200  32.554 32.570 32.592 32.604 32.627 32.660 32.713 32.761 32.793 32.811 33.112 33.687 33.770 2222222222222
 20110815 1200  32.552 32.570 32.586 32.603 32.603 32.661 32.715 32.755 32.793 32.807 33.078 33.682 33.766 2222222222222
 20110816 1200  32.554 32.570 32.596 32.593 32.594 32.645 32.698 32.752 32.791 32.809 33.112 33.697 33.772 2222222222222
 20110817 1200  32.526 32.554 32.601 32.620 32.612 32.648 32.697 32.749 32.788 32.813 33.071 33.698 33.770 2222222222222
 20110818 1200  32.509 32.534 32.613 32.617 32.631 32.640 32.716 32.753 32.787 32.810 33.060 33.691 33.774 2222222222222
 20110819 1200  32.480 32.503 32.581 32.611 32.616 32.658 32.709 32.747 32.790 32.802 33.003 33.685 33.768 2222222222222
 20110820 1200  32.441 32.465 32.525 32.573 32.606 32.629 32.687 32.742 32.787 32.805 33.037 33.695 33.768 2222222222222
 20110821 1200  32.453 32.471 32.538 32.571 32.596 32.627 32.714 32.749 32.790 32.806 33.019 33.687 33.773 2222222222222
 20110822 1200  32.460 32.477 32.521 32.549 32.594 32.616 32.709 32.744 32.789 32.809 33.014 33.681 33.767 2222222222222
 20110823 1200  32.464 32.483 32.518 32.509 32.604 32.623 32.708 32.745 32.783 32.806 32.969 33.666 33.769 2222222222222
 20110824 1200  32.470 32.488 32.545 32.568 32.615 32.662 32.708 32.746 32.794 32.799 32.937 33.672 33.778 2222222222222
 20110825 1200  32.476 32.497 32.502 32.493 32.566 32.645 32.715 32.749 32.793 32.797 32.919 33.654 33.767 2222222222222
 20110826 1200  32.491 32.510 32.517 32.517 32.519 32.596 32.700 32.741 32.789 32.801 32.988 33.676 33.771 2222222222222
 20110827 1200  32.489 32.509 32.514 32.514 32.536 32.596 32.677 32.741 32.779 32.803 33.028 33.676 33.768 2222222222222
 20110828 1200  32.498 32.515 32.516 32.513 32.538 32.579 32.689 32.739 32.779 32.804 33.081 33.680 33.770 2222222222222
 20110829 1200  32.496 32.514 32.511 32.509 32.534 32.586 32.691 32.740 32.779 32.805 33.052 33.673 33.770 2222222222222
 20110830 1200  32.495 32.513 32.514 32.505 32.535 32.643 32.694 32.739 32.784 32.809 33.063 33.669 33.763 2222222222222
 20110831 1200  32.489 32.505 32.506 32.507 32.511 32.629 32.702 32.741 32.784 32.805 33.047 33.670 33.762 2222222222222
 20110901 1200  32.490 32.508 32.510 32.496 32.512 32.614 32.705 32.743 32.786 32.799 32.941 33.658 33.764 2222222222222
 20110902 1200  32.479 32.497 32.499 32.491 32.494 32.596 32.708 32.747 32.787 32.795 32.927 33.644 33.763 2222222222222
 20110903 1200  32.477 32.491 32.491 32.482 32.461 32.604 32.686 32.737 32.785 32.796 32.899 33.628 33.759 2222222222222
 20110904 1200  32.470 32.489 32.488 32.479 32.517 32.609 32.687 32.739 32.781 32.797 32.945 33.659 33.762 2222222222222
 20110905 1200  32.461 32.482 32.482 32.477 32.472 32.514 32.671 32.733 32.779 32.796 32.909 33.625 33.758 2222222222222
 20110906 1200  32.474 32.500 32.500 32.492 32.490 32.447 32.633 32.733 32.772 32.799 32.952 33.619 33.764 2222222222222
 20110907 1200  32.491 32.506 32.505 32.501 32.466 32.510 32.618 32.728 32.788 32.801 32.918 33.613 33.758 2222222222222
 20110908 1200  32.480 32.500 32.506 32.503 32.503 32.456 32.682 32.738 32.792 32.799 32.889 33.596 33.755 2222222222222
 20110909 1200  32.476 32.491 32.496 32.498 32.502 32.529 32.672 32.743 32.783 32.802 32.899 33.595 33.757 2222222222222
 20110910 1200  32.467 32.486 32.489 32.490 32.499 32.498 32.683 32.739 32.792 32.797 32.864 33.596 33.757 2222222222222
 20110911 1200  32.453 32.474 32.475 32.477 32.493 32.491 32.694 32.735 32.792 32.796 32.868 33.563 33.753 2222222222222
 20110912 1200  32.454 32.478 32.478 32.472 32.469 32.386 32.705 32.745 32.793 32.792 32.850 33.544 33.749 2222222222222
 20110913 1200  32.458 32.480 32.480 32.475 32.453 32.448 32.691 32.740 32.792 32.801 32.911 33.589 33.753 2222222222222
 20110914 1200  32.467 32.485 32.482 32.479 32.478 32.487 32.686 32.737 32.786 32.801 32.974 33.626 33.756 2222222222222
 20110915 1200  32.467 32.489 32.489 32.481 32.480 32.451 32.637 32.735 32.785 32.800 32.982 33.649 33.754 2222222222222
 20110916 1200  32.468 32.490 32.490 32.484 32.482 32.479 32.552 32.729 32.781 32.805 32.970 33.637 33.758 2222222222222
 20110917 1200  32.470 32.490 32.490 32.485 32.485 32.433 32.587 32.729 32.780 32.803 32.942 33.593 33.759 2222222222222
 20110918 1200  32.471 32.490 32.490 32.485 32.484 32.413 32.616 32.736 32.792 32.797 32.881 33.560 33.757 2222222222222
 20110919 1200  32.459 32.484 32.484 32.479 32.443 32.512 32.619 32.738 32.807 32.794 32.851 33.521 33.754 2222222222222
 20110920 1200  32.461 32.489 32.488 32.483 32.472 32.458 32.571 32.734 32.802 32.794 32.830 33.482 33.743 2222222222222
 20110921 1200  32.469 32.493 32.492 32.488 32.475 32.454 32.660 32.739 32.792 32.794 32.841 33.583 33.749 2222222222222
