 Time: 1200 14 Jun 2009 to 1200 17 Jun 2010 (index   738 to  1106,   369 lines, 13 depths)
 Index:              1      4      6      7      8     10     12     13     14     15     16     17     18
 Depth(M):           1     10     20     25     30     36     45     60     80    100    120    150    200 QUALITY INDICES
     DATE TIME     SSS    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL    SAL SSSSSSSSSSSSS
 20090614 1200  32.565 32.573 32.582 32.576 32.580 32.589 -9.999 32.622 32.611 32.615 32.705 33.321 33.731 1111110111133
 20090615 1200  32.567 32.569 32.576 32.570 32.581 32.589 32.595 32.613 32.614 32.618 32.681 33.330 33.727 1111111111133
 20090616 1200  32.559 32.562 32.571 32.556 32.570 32.579 32.596 32.612 32.611 32.611 32.690 33.331 33.723 1111111111133
 20090617 1200  32.560 32.563 32.565 32.565 32.585 32.598 32.604 32.621 32.614 32.615 32.722 33.337 33.726 1111111111133
 20090618 1200  32.565 32.568 32.572 32.573 32.604 32.619 32.623 32.636 32.624 32.619 32.754 33.330 33.725 1111111111133
 20090619 1200  32.566 32.570 32.579 32.570 32.570 32.601 32.613 32.629 32.615 32.610 32.702 33.357 33.725 1111111111133
 20090620 1200  32.566 32.569 32.573 32.567 32.583 32.591 32.613 32.628 32.617 32.615 32.703 33.395 33.728 1111111111133
 20090621 1200  32.567 32.570 32.565 32.562 32.568 32.589 32.606 32.625 32.625 32.619 32.755 33.377 33.726 1111111111133
 20090622 1200  32.571 32.574 32.568 32.561 32.550 32.563 32.584 32.607 32.609 32.613 32.693 33.382 33.720 1111111111133
 20090623 1200  32.566 32.570 32.566 32.548 32.545 32.570 32.582 32.609 32.610 32.614 32.711 33.346 33.711 1111111111133
 20090624 1200  32.555 32.558 32.554 32.547 32.544 32.545 32.583 32.615 32.616 32.621 32.786 33.345 33.708 1111111111133
 20090625 1200  32.560 32.563 32.558 32.556 32.545 32.546 32.580 32.618 32.612 32.614 32.684 33.317 33.703 1111111111133
 20090626 1200  32.543 32.547 32.545 32.532 32.537 32.537 32.596 32.621 32.610 32.610 32.652 33.261 33.701 1111111111133
 20090627 1200  32.554 32.557 32.552 32.553 32.551 32.542 32.558 32.607 32.606 32.609 32.657 33.245 33.703 1111111111133
 20090628 1200  32.548 32.566 32.561 32.563 32.563 32.558 32.553 32.616 32.614 32.623 32.701 33.340 33.713 1111111111133
 20090629 1200  32.558 32.561 32.556 32.558 32.557 32.557 32.552 32.611 32.612 32.617 32.709 33.347 33.716 1111111111133
 20090630 1200  32.560 32.563 32.556 32.554 32.558 32.557 32.544 32.616 32.612 32.612 32.668 33.336 33.722 1111111111133
 20090701 1200  32.554 32.558 32.554 32.554 32.554 32.556 32.546 32.612 32.607 32.610 32.671 33.297 33.718 1111111111133
 20090702 1200  32.556 32.559 32.554 32.555 32.553 32.556 32.546 32.603 32.606 32.613 32.699 33.291 33.720 1111111111133
 20090703 1200  32.547 32.561 32.556 32.559 32.558 32.553 32.558 32.608 32.609 32.611 32.717 33.351 33.721 1111111111133
 20090704 1200  32.478 32.565 32.561 32.563 32.561 32.556 32.570 32.601 32.605 32.609 32.726 33.324 33.721 1111111111133
 20090705 1200  32.448 32.566 32.561 32.562 32.562 32.561 32.557 32.604 32.603 32.609 32.713 33.323 33.712 1111111111133
 20090706 1200  32.461 32.563 32.559 32.560 32.560 32.562 32.568 32.615 32.609 32.611 32.684 33.323 33.720 1111111111133
 20090707 1200  32.536 32.560 32.559 32.559 32.559 32.562 32.566 32.603 32.613 32.610 32.724 33.329 33.724 1111111111133
 20090708 1200  32.534 32.549 32.559 32.560 32.560 32.559 32.560 32.603 32.606 32.607 32.702 33.356 33.718 1111111111133
 20090709 1200  32.524 32.542 32.557 32.556 32.555 32.552 32.559 32.599 32.604 32.612 32.742 33.360 33.718 1111111111133
 20090710 1200  32.525 32.538 32.555 32.554 32.553 32.554 32.556 32.604 32.611 32.620 32.757 33.349 33.719 1111111111133
 20090711 1200  32.534 32.537 32.546 32.548 32.549 32.552 32.550 32.604 32.615 32.630 32.760 33.372 33.714 1111111111133
 20090712 1200  32.523 32.529 32.544 32.545 32.550 32.552 32.552 32.604 32.618 32.628 32.749 33.360 33.712 1111111111133
 20090713 1200  32.517 32.528 32.543 32.545 32.552 32.557 32.560 32.606 32.617 32.622 32.769 33.351 33.716 1111111111133
 20090714 1200  32.501 32.529 32.547 32.550 32.553 32.559 32.559 32.591 32.606 32.610 32.734 33.336 33.719 1111111111133
 20090715 1200  32.513 32.531 32.551 32.548 32.554 32.554 32.560 32.595 32.603 32.608 32.710 33.334 33.716 1111111111133
 20090716 1200  32.520 32.530 32.550 32.552 32.553 32.554 32.560 32.596 32.605 32.609 32.697 33.356 33.724 1111111111133
 20090717 1200  32.526 32.535 32.545 32.540 32.550 32.552 32.554 32.595 32.605 32.610 32.721 33.338 33.727 1111111111133
 20090718 1200  32.523 32.528 32.544 32.534 32.550 32.553 32.558 32.593 32.603 32.608 32.705 33.353 33.722 1111111111133
 20090719 1200  32.515 32.519 32.542 32.532 32.550 32.551 32.555 32.591 32.603 32.609 32.709 33.352 33.710 1111111111133
 20090720 1200  32.515 32.519 32.542 32.533 32.552 32.554 32.549 32.593 32.607 32.612 32.712 33.337 33.707 1111111111133
 20090721 1200  32.515 32.518 32.542 32.525 32.540 32.550 32.560 32.599 32.612 32.615 32.689 33.329 33.706 1111111111133
 20090722 1200  32.512 32.516 32.538 32.501 32.541 32.554 32.546 32.594 32.607 32.614 32.736 33.334 33.708 1111111111133
 20090723 1200  32.506 32.512 32.538 32.527 32.537 32.555 32.556 32.590 32.609 32.612 32.696 33.351 33.710 1111111111133
 20090724 1200  32.486 32.514 32.530 32.524 32.544 32.555 32.559 32.603 32.612 32.611 32.726 33.340 33.701 1111111111133
 20090725 1200  32.506 32.514 32.524 32.523 32.545 32.559 32.563 32.601 32.613 32.615 32.708 33.332 33.699 1111111111133
 20090726 1200  32.509 32.514 32.523 32.489 32.538 32.557 32.553 32.599 32.611 32.618 32.696 33.304 33.694 1111111111133
